phase;dataset;model;n_runs;seeds;f1_mean;f1_std;acc_mean;acc_std;prec_mean;rec_mean;time_mean;time_sum
phase1_baseline;amazon;logreg;3;101,102,103;0.913227;8.1e-05;0.913227;8.1e-05;0.913238;0.913235;37.155508;111.466524
phase1_baseline;amazon;nb;3;101,102,103;0.889296;0.000627;0.889297;0.000627;0.88934;0.889311;30.628898;91.886694
phase1_baseline;amazon;rf;3;101,102,103;0.876225;0.000212;0.876257;0.00021;0.87676;0.876305;153.186697;459.560092
phase1_baseline;amazon;svm;3;101,102,103;0.916773;0.000695;0.916773;0.000695;0.916773;0.916776;31.198147;93.594441
phase1_baseline;enron;logreg;3;101,102,103;0.928633;0.004197;0.963889;0.001925;0.979235;0.891667;1.509529;4.528586
phase1_baseline;enron;nb;3;101,102,103;0.842324;0.012039;0.928333;0.00441;0.960412;0.785;1.396786;4.190358
phase1_baseline;enron;rf;3;101,102,103;0.963276;0.012803;0.980556;0.00631;0.985745;0.944333;2.151909;6.455728
phase1_baseline;enron;svm;3;101,102,103;0.965738;0.011642;0.981667;0.006009;0.983236;0.950333;1.491579;4.474736
phase1_baseline;imdb;logreg;3;101,102,103;0.891371;0.00069;0.891373;0.00069;0.891407;0.891373;22.586865;67.760594
phase1_baseline;imdb;nb;3;101,102,103;0.8702;0.00069;0.87028;0.000693;0.871195;0.87028;21.622748;64.868243
phase1_baseline;imdb;rf;3;101,102,103;0.855807;0.001163;0.855827;0.001166;0.856023;0.855827;40.019064;120.057192
phase1_baseline;imdb;svm;3;101,102,103;0.898759;0.000511;0.89876;0.000511;0.898775;0.89876;22.258567;66.775702
phase1_baseline;sms;logreg;3;101,102,103;0.928634;0.007462;0.970105;0.00274;0.982105;0.889089;0.227611;0.682832
phase1_baseline;sms;nb;3;101,102,103;0.955812;0.013528;0.980867;0.00548;0.989209;0.928412;0.228406;0.685219
phase1_baseline;sms;rf;3;101,102,103;0.958314;0.008791;0.981764;0.003734;0.987415;0.933659;0.829407;2.48822
phase1_baseline;sms;svm;3;101,102,103;0.976824;0.012987;0.989537;0.005766;0.987879;0.966526;0.208828;0.626484
